date,street,people_count
2017-05-18,QV Market-Peel St,2847
2017-05-18,Melbourne Central,30103
2017-05-18,Collins Place (North),12170
2017-05-18,Chinatown-Swanston St (North),13656
2017-05-18,Bourke Street Mall (North),33893
2017-05-18,Spencer St-Collins St (North),38472
2017-05-17,Bourke Street Mall (North),32778
2017-05-17,Chinatown-Swanston St (North),13483
2017-05-17,Spencer St-Collins St (North),38514
2017-05-17,Southern Cross Station,22970
2017-05-17,QV Market-Peel St,2137
2017-05-17,Melbourne Central,33493
2017-05-17,Collins Place (North),11681
2017-05-16,Bourke Street Mall (North),28370
2017-05-16,Chinatown-Swanston St (North),11660
2017-05-16,Collins Place (North),11855
2017-05-16,Melbourne Central,27974
2017-05-16,QV Market-Peel St,2852
2017-05-16,Southern Cross Station,22892
2017-05-16,Spencer St-Collins St (North),37993
2017-05-15,Bourke Street Mall (North),28013
2017-05-15,Chinatown-Swanston St (North),10761
2017-05-15,Spencer St-Collins St (North),36939
2017-05-15,Southern Cross Station,21829
2017-05-15,QV Market-Peel St,1868
2017-05-15,Melbourne Central,27008
2017-05-15,Collins Place (North),11166
2017-05-14,Spencer St-Collins St (North),15746
2017-05-14,Southern Cross Station,1773
2017-05-14,QV Market-Peel St,3455
2017-05-14,Melbourne Central,26228
2017-05-14,Collins Place (North),1724
2017-05-14,Chinatown-Swanston St (North),15100
2017-05-14,Bourke Street Mall (North),28461
2017-05-13,Spencer St-Collins St (North),20442
2017-05-13,QV Market-Peel St,4265
2017-05-13,Melbourne Central,35180
2017-05-13,Collins Place (North),2780
2017-05-13,Chinatown-Swanston St (North),18161
2017-05-13,Bourke Street Mall (North),37817
2017-05-13,Southern Cross Station,3020
2017-05-12,Chinatown-Swanston St (North),16643
2017-05-12,Spencer St-Collins St (North),39241
2017-05-12,Southern Cross Station,22204
2017-05-12,QV Market-Peel St,3363
2017-05-12,Melbourne Central,37228
2017-05-12,Collins Place (North),11575
2017-05-12,Bourke Street Mall (North),40022
2017-05-11,Melbourne Central,30058
2017-05-11,Bourke Street Mall (North),33349
2017-05-11,Chinatown-Swanston St (North),12703
2017-05-11,Collins Place (North),11511
2017-05-11,QV Market-Peel St,2932
2017-05-11,Southern Cross Station,23188
2017-05-11,Spencer St-Collins St (North),38057
2017-05-10,Bourke Street Mall (North),31621
2017-05-10,Chinatown-Swanston St (North),12775
2017-05-10,Melbourne Central,30355
2017-05-10,Collins Place (North),11698
2017-05-10,Southern Cross Station,23221
2017-05-10,QV Market-Peel St,2279
2017-05-10,Spencer St-Collins St (North),38732
2017-05-09,Spencer St-Collins St (North),38000
2017-05-09,Southern Cross Station,23320
2017-05-09,QV Market-Peel St,2851
2017-05-09,Melbourne Central,28268
2017-05-09,Collins Place (North),11899
2017-05-09,Chinatown-Swanston St (North),11848
2017-05-09,Bourke Street Mall (North),29439
2017-05-08,Melbourne Central,26512
2017-05-08,Chinatown-Swanston St (North),10906
2017-05-08,Collins Place (North),10970
2017-05-08,Bourke Street Mall (North),27375
2017-05-08,QV Market-Peel St,1916
2017-05-08,Southern Cross Station,21676
2017-05-08,Spencer St-Collins St (North),36981
2017-05-07,Bourke Street Mall (North),29140
2017-05-07,Chinatown-Swanston St (North),14221
2017-05-07,Melbourne Central,26997
2017-05-07,Collins Place (North),1712
2017-05-07,Southern Cross Station,1817
2017-05-07,QV Market-Peel St,3613
2017-05-07,Spencer St-Collins St (North),14714
2017-05-06,Spencer St-Collins St (North),21240
2017-05-06,Southern Cross Station,2849
2017-05-06,QV Market-Peel St,3890
2017-05-06,Melbourne Central,32213
2017-05-06,Collins Place (North),2646
2017-05-06,Chinatown-Swanston St (North),16819
2017-05-06,Bourke Street Mall (North),34970
2017-05-05,Melbourne Central,40313
2017-05-05,Bourke Street Mall (North),40827
2017-05-05,Chinatown-Swanston St (North),16897
2017-05-05,Collins Place (North),10850
2017-05-05,Spencer St-Collins St (North),41099
2017-05-05,QV Market-Peel St,3343
2017-05-05,Southern Cross Station,23045
2017-05-04,Melbourne Central,31492
2017-05-04,Chinatown-Swanston St (North),13112
2017-05-04,Bourke Street Mall (North),34895
2017-05-04,Collins Place (North),11840
2017-05-04,Southern Cross Station,23029
2017-05-04,QV Market-Peel St,3187
2017-05-04,Spencer St-Collins St (North),38671
2017-05-03,Spencer St-Collins St (North),38684
2017-05-03,Southern Cross Station,22779
2017-05-03,QV Market-Peel St,2572
2017-05-03,Melbourne Central,29493
2017-05-03,Collins Place (North),11840
2017-05-03,Chinatown-Swanston St (North),12890
2017-05-03,Bourke Street Mall (North),30630
2017-05-02,Bourke Street Mall (North),28804
2017-05-02,Spencer St-Collins St (North),38785
2017-05-02,Southern Cross Station,23249
2017-05-02,QV Market-Peel St,2919
2017-05-02,Melbourne Central,27179
2017-05-02,Collins Place (North),11627
2017-05-02,Chinatown-Swanston St (North),11492
2017-05-01,Collins Place (North),11684
2017-05-01,Melbourne Central,26786
2017-05-01,Chinatown-Swanston St (North),11196
2017-05-01,Bourke Street Mall (North),27670
2017-05-01,QV Market-Peel St,1923
2017-05-01,Southern Cross Station,22377
2017-05-01,Spencer St-Collins St (North),37376
2017-04-30,Collins Place (North),1800
2017-04-30,Bourke Street Mall (North),27369
2017-04-30,Chinatown-Swanston St (North),14919
2017-04-30,Spencer St-Collins St (North),17493
2017-04-30,Melbourne Central,28830
2017-04-30,Southern Cross Station,2345
2017-04-30,QV Market-Peel St,3403
2017-04-29,Spencer St-Collins St (North),20117
2017-04-29,Southern Cross Station,2993
2017-04-29,QV Market-Peel St,3764
2017-04-29,Melbourne Central,35248
2017-04-29,Collins Place (North),2950
2017-04-29,Chinatown-Swanston St (North),18324
2017-04-29,Bourke Street Mall (North),34740
2017-04-28,Collins Place (North),11554
2017-04-28,Bourke Street Mall (North),38751
2017-04-28,Chinatown-Swanston St (North),16245
2017-04-28,Spencer St-Collins St (North),39104
2017-04-28,Melbourne Central,37044
2017-04-28,QV Market-Peel St,3129
2017-04-28,Southern Cross Station,22737
2017-04-27,Collins Place (North),12894
2017-04-27,Bourke Street Mall (North),31080
2017-04-27,Chinatown-Swanston St (North),11994
2017-04-27,Spencer St-Collins St (North),38915
2017-04-27,Melbourne Central,29607
2017-04-27,QV Market-Peel St,2970
2017-04-27,Southern Cross Station,23083
2017-04-26,Spencer St-Collins St (North),37591
2017-04-26,Southern Cross Station,21652
2017-04-26,QV Market-Peel St,2212
2017-04-26,Melbourne Central,26066
2017-04-26,Collins Place (North),11836
2017-04-26,Chinatown-Swanston St (North),10799
2017-04-26,Bourke Street Mall (North),27463
2017-04-25,Melbourne Central,28141
2017-04-25,Chinatown-Swanston St (North),12761
2017-04-25,Collins Place (North),2074
2017-04-25,Bourke Street Mall (North),23440
2017-04-25,QV Market-Peel St,1627
2017-04-25,Spencer St-Collins St (North),13957
2017-04-25,Southern Cross Station,1755
2017-04-24,Bourke Street Mall (North),33883
2017-04-24,Chinatown-Swanston St (North),13778
2017-04-24,Collins Place (North),9534
2017-04-24,Melbourne Central,31958
2017-04-24,QV Market-Peel St,1984
2017-04-24,Spencer St-Collins St (North),34142
2017-04-24,Southern Cross Station,16949
2017-04-23,Spencer St-Collins St (North),17688
2017-04-23,Southern Cross Station,2391
2017-04-23,QV Market-Peel St,3878
2017-04-23,Melbourne Central,29890
2017-04-23,Collins Place (North),2202
2017-04-23,Chinatown-Swanston St (North),15575
2017-04-23,Bourke Street Mall (North),31106
2017-04-22,Melbourne Central,36261
2017-04-22,Chinatown-Swanston St (North),19102
2017-04-22,Collins Place (North),3094
2017-04-22,Bourke Street Mall (North),35926
2017-04-22,QV Market-Peel St,4246
2017-04-22,Spencer St-Collins St (North),20417
2017-04-22,Southern Cross Station,2711
2017-04-21,Bourke Street Mall (North),34988
2017-04-21,Chinatown-Swanston St (North),15848
2017-04-21,Collins Place (North),11986
2017-04-21,Melbourne Central,31445
2017-04-21,QV Market-Peel St,3121
2017-04-21,Spencer St-Collins St (North),40043
2017-04-21,Southern Cross Station,20295
2017-04-20,Collins Place (North),12206
2017-04-20,Chinatown-Swanston St (North),14353
2017-04-20,Bourke Street Mall (North),34955
2017-04-20,QV Market-Peel St,2946
2017-04-20,Southern Cross Station,22337
2017-04-20,Spencer St-Collins St (North),38291
2017-04-20,Melbourne Central,32691
2017-04-19,Spencer St-Collins St (North),38404
2017-04-19,Southern Cross Station,21427
2017-04-19,QV Market-Peel St,2094
2017-04-19,Melbourne Central,30120
2017-04-19,Collins Place (North),11753
2017-04-19,Chinatown-Swanston St (North),13994
2017-04-19,Bourke Street Mall (North),32255
2017-04-18,QV Market-Peel St,2679
2017-04-18,Collins Place (North),11398
2017-04-18,Bourke Street Mall (North),32794
2017-04-18,Southern Cross Station,20855
2017-04-18,Spencer St-Collins St (North),35261
2017-04-18,Chinatown-Swanston St (North),14085
2017-04-18,Melbourne Central,28337
2017-04-17,Southern Cross Station,1920
2017-04-17,Melbourne Central,28296
2017-04-17,Chinatown-Swanston St (North),15496
2017-04-17,Collins Place (North),1579
2017-04-17,Bourke Street Mall (North),29327
2017-04-17,QV Market-Peel St,1579
2017-04-17,Spencer St-Collins St (North),14297
2017-04-16,Bourke Street Mall (North),31962
2017-04-16,Spencer St-Collins St (North),15624
2017-04-16,Southern Cross Station,2183
2017-04-16,QV Market-Peel St,2829
2017-04-16,Melbourne Central,32195
2017-04-16,Collins Place (North),1957
2017-04-16,Chinatown-Swanston St (North),18846
2017-04-15,Spencer St-Collins St (North),17233
2017-04-15,Southern Cross Station,2110
2017-04-15,Melbourne Central,38251
2017-04-15,Collins Place (North),2668
2017-04-15,Chinatown-Swanston St (North),21255
2017-04-15,Bourke Street Mall (North),40372
2017-04-15,QV Market-Peel St,4110
2017-04-14,Chinatown-Swanston St (North),20104
2017-04-14,Bourke Street Mall (North),21993
2017-04-14,Spencer St-Collins St (North),18748
2017-04-14,QV Market-Peel St,1845
2017-04-14,Collins Place (North),2204
2017-04-14,Melbourne Central,37814
2017-04-14,Southern Cross Station,2273
2017-04-13,Spencer St-Collins St (North),37732
2017-04-13,Southern Cross Station,20619
2017-04-13,QV Market-Peel St,3633
2017-04-13,Melbourne Central,39282
2017-04-13,Collins Place (North),11974
2017-04-13,Chinatown-Swanston St (North),18930
2017-04-13,Bourke Street Mall (North),42721
2017-04-12,Collins Place (North),12445
2017-04-12,Bourke Street Mall (North),37349
2017-04-12,Chinatown-Swanston St (North),15741
2017-04-12,QV Market-Peel St,2671
2017-04-12,Melbourne Central,36629
2017-04-12,Southern Cross Station,22676
2017-04-12,Spencer St-Collins St (North),37997
2017-04-11,Spencer St-Collins St (North),38245
2017-04-11,Southern Cross Station,23728
2017-04-11,QV Market-Peel St,3024
2017-04-11,Melbourne Central,34466
2017-04-11,Collins Place (North),12178
2017-04-11,Chinatown-Swanston St (North),14822
2017-04-11,Bourke Street Mall (North),35896
2017-04-10,Collins Place (North),10662
2017-04-10,Bourke Street Mall (North),30284
2017-04-10,Chinatown-Swanston St (North),12515
2017-04-10,Southern Cross Station,21185
2017-04-10,Melbourne Central,28461
2017-04-10,Spencer St-Collins St (North),35884
2017-04-10,QV Market-Peel St,1847
2017-04-09,Spencer St-Collins St (North),15297
2017-04-09,Southern Cross Station,3002
2017-04-09,QV Market-Peel St,2972
2017-04-09,Melbourne Central,22825
2017-04-09,Collins Place (North),1756
2017-04-09,Chinatown-Swanston St (North),13485
2017-04-09,Bourke Street Mall (North),23657
2017-04-08,Collins Place (North),3113
2017-04-08,Bourke Street Mall (North),33892
2017-04-08,Chinatown-Swanston St (North),17645
2017-04-08,Melbourne Central,31633
2017-04-08,QV Market-Peel St,3620
2017-04-08,Southern Cross Station,2572
2017-04-08,Spencer St-Collins St (North),19578
2017-04-07,Spencer St-Collins St (North),38784
2017-04-07,Southern Cross Station,22618
2017-04-07,QV Market-Peel St,3182
2017-04-07,Melbourne Central,41986
2017-04-07,Collins Place (North),11973
2017-04-07,Chinatown-Swanston St (North),18596
2017-04-07,Bourke Street Mall (North),43075
2017-04-06,Collins Place (North),12407
2017-04-06,Bourke Street Mall (North),37137
2017-04-06,Chinatown-Swanston St (North),15263
2017-04-06,Spencer St-Collins St (North),38736
2017-04-06,Melbourne Central,36867
2017-04-06,Southern Cross Station,22478
2017-04-06,QV Market-Peel St,3141
2017-04-05,Spencer St-Collins St (North),39198
2017-04-05,Southern Cross Station,22090
2017-04-05,QV Market-Peel St,2579
2017-04-05,Melbourne Central,34905
2017-04-05,Collins Place (North),12292
2017-04-05,Chinatown-Swanston St (North),14338
2017-04-05,Bourke Street Mall (North),35025
2017-04-04,Collins Place (North),12343
2017-04-04,Bourke Street Mall (North),34457
2017-04-04,Chinatown-Swanston St (North),13844
2017-04-04,Spencer St-Collins St (North),38443
2017-04-04,Melbourne Central,35765
2017-04-04,QV Market-Peel St,2997
2017-04-04,Southern Cross Station,22552
2017-04-03,Melbourne Central,33039
2017-04-03,Chinatown-Swanston St (North),13703
2017-04-03,Collins Place (North),11605
2017-04-03,Bourke Street Mall (North),34050
2017-04-03,QV Market-Peel St,2249
2017-04-03,Spencer St-Collins St (North),37818
2017-04-03,Southern Cross Station,21695
2017-04-02,Spencer St-Collins St (North),17368
2017-04-02,Southern Cross Station,2179
2017-04-02,QV Market-Peel St,4170
2017-04-02,Melbourne Central,31142
2017-04-02,Collins Place (North),2303
2017-04-02,Chinatown-Swanston St (North),15379
2017-04-02,Bourke Street Mall (North),30529
2017-04-01,Collins Place (North),3298
2017-04-01,Bourke Street Mall (North),37006
2017-04-01,Chinatown-Swanston St (North),17246
2017-04-01,Melbourne Central,38424
2017-04-01,QV Market-Peel St,4156
2017-04-01,Southern Cross Station,2578
2017-04-01,Spencer St-Collins St (North),18677
2017-03-31,Spencer St-Collins St (North),41625
2017-03-31,Southern Cross Station,22686
2017-03-31,QV Market-Peel St,3452
2017-03-31,Melbourne Central,39067
2017-03-31,Collins Place (North),11605
2017-03-31,Chinatown-Swanston St (North),17010
2017-03-31,Bourke Street Mall (North),41187
2017-03-30,Collins Place (North),11958
2017-03-30,Bourke Street Mall (North),32566
2017-03-30,Chinatown-Swanston St (North),12494
2017-03-30,Melbourne Central,32761
2017-03-30,Southern Cross Station,23986
2017-03-30,Spencer St-Collins St (North),38122
2017-03-30,QV Market-Peel St,3065
2017-03-29,Spencer St-Collins St (North),38219
2017-03-29,Southern Cross Station,23130
2017-03-29,QV Market-Peel St,2908
2017-03-29,Melbourne Central,31071
2017-03-29,Collins Place (North),12117
2017-03-29,Chinatown-Swanston St (North),12380
2017-03-29,Bourke Street Mall (North),29972
2017-03-28,Melbourne Central,33064
2017-03-28,Collins Place (North),12265
2017-03-28,Bourke Street Mall (North),31931
2017-03-28,Chinatown-Swanston St (North),12225
2017-03-28,QV Market-Peel St,2986
2017-03-28,Southern Cross Station,23361
2017-03-28,Spencer St-Collins St (North),38668
2017-03-27,Spencer St-Collins St (North),38187
2017-03-27,Southern Cross Station,22123
2017-03-27,QV Market-Peel St,1909
2017-03-27,Melbourne Central,26298
2017-03-27,Collins Place (North),11775
2017-03-27,Chinatown-Swanston St (North),10760
2017-03-27,Bourke Street Mall (North),27842
2017-03-26,Collins Place (North),1946
2017-03-26,Bourke Street Mall (North),27914
2017-03-26,Chinatown-Swanston St (North),14821
2017-03-26,Southern Cross Station,2553
2017-03-26,Melbourne Central,32349
2017-03-26,Spencer St-Collins St (North),24060
2017-03-26,QV Market-Peel St,3188
2017-03-25,Spencer St-Collins St (North),28604
2017-03-25,Southern Cross Station,3406
2017-03-25,QV Market-Peel St,3853
2017-03-25,Melbourne Central,39247
2017-03-25,Collins Place (North),3010
2017-03-25,Chinatown-Swanston St (North),18762
2017-03-25,Bourke Street Mall (North),33784
2017-03-24,Collins Place (North),11552
2017-03-24,Bourke Street Mall (North),41461
2017-03-24,Chinatown-Swanston St (North),17005
2017-03-24,Melbourne Central,40410
2017-03-24,QV Market-Peel St,3498
2017-03-24,Southern Cross Station,22451
2017-03-24,Spencer St-Collins St (North),42229
2017-03-23,Spencer St-Collins St (North),40805
2017-03-23,Southern Cross Station,24543
2017-03-23,QV Market-Peel St,3128
2017-03-23,Melbourne Central,33526
2017-03-23,Collins Place (North),12071
2017-03-23,Chinatown-Swanston St (North),13251
2017-03-23,Bourke Street Mall (North),34923
2017-03-22,Collins Place (North),11760
2017-03-22,Bourke Street Mall (North),29003
2017-03-22,Chinatown-Swanston St (North),12262
2017-03-22,Southern Cross Station,23028
2017-03-22,Melbourne Central,31932
2017-03-22,Spencer St-Collins St (North),38537
2017-03-22,QV Market-Peel St,3108
2017-03-21,Spencer St-Collins St (North),37907
2017-03-21,Southern Cross Station,22836
2017-03-21,QV Market-Peel St,2833
2017-03-21,Melbourne Central,29305
2017-03-21,Collins Place (North),11636
2017-03-21,Chinatown-Swanston St (North),11331
2017-03-21,Bourke Street Mall (North),27202
2017-03-20,Collins Place (North),11457
2017-03-20,Bourke Street Mall (North),29883
2017-03-20,Chinatown-Swanston St (North),11780
2017-03-20,Southern Cross Station,22302
2017-03-20,Melbourne Central,28584
2017-03-20,QV Market-Peel St,2114
2017-03-20,Spencer St-Collins St (North),37777
2017-03-19,Spencer St-Collins St (North),23190
2017-03-19,Southern Cross Station,5034
2017-03-19,QV Market-Peel St,3281
2017-03-19,Bourke Street Mall (North),32419
2017-03-19,Collins Place (North),2068
2017-03-19,Chinatown-Swanston St (North),16193
2017-03-19,Melbourne Central,29280
2017-03-18,Bourke Street Mall (North),40415
2017-03-18,Spencer St-Collins St (North),27783
2017-03-18,Southern Cross Station,6293
2017-03-18,QV Market-Peel St,3948
2017-03-18,Melbourne Central,38768
2017-03-18,Collins Place (North),3045
2017-03-18,Chinatown-Swanston St (North),18862
2017-03-17,Collins Place (North),11646
2017-03-17,Bourke Street Mall (North),41278
2017-03-17,Chinatown-Swanston St (North),17121
2017-03-17,Southern Cross Station,22652
2017-03-17,Melbourne Central,40837
2017-03-17,QV Market-Peel St,3892
2017-03-17,Spencer St-Collins St (North),39601
2017-03-16,QV Market-Peel St,3126
2017-03-16,Spencer St-Collins St (North),37804
2017-03-16,Southern Cross Station,22228
2017-03-16,Bourke Street Mall (North),30559
2017-03-16,Melbourne Central,32306
2017-03-16,Collins Place (North),12455
2017-03-16,Chinatown-Swanston St (North),13087
2017-03-15,Spencer St-Collins St (North),39644
2017-03-15,Southern Cross Station,22559
2017-03-15,QV Market-Peel St,2866
2017-03-15,Melbourne Central,31719
2017-03-15,Collins Place (North),12053
2017-03-15,Chinatown-Swanston St (North),12779
2017-03-15,Bourke Street Mall (North),30885
2017-03-14,Bourke Street Mall (North),30383
2017-03-14,Chinatown-Swanston St (North),12607
2017-03-14,Spencer St-Collins St (North),38347
2017-03-14,QV Market-Peel St,2664
2017-03-14,Melbourne Central,31941
2017-03-14,Collins Place (North),11774
2017-03-14,Southern Cross Station,22645
2017-03-13,Melbourne Central,31713
2017-03-13,Chinatown-Swanston St (North),15341
2017-03-13,Collins Place (North),1894
2017-03-13,Bourke Street Mall (North),28786
2017-03-13,QV Market-Peel St,1727
2017-03-13,Southern Cross Station,2851
2017-03-13,Spencer St-Collins St (North),15426
2017-03-12,Spencer St-Collins St (North),17376
2017-03-12,Southern Cross Station,2029
2017-03-12,QV Market-Peel St,3843
2017-03-12,Melbourne Central,34708
2017-03-12,Collins Place (North),2050
2017-03-12,Chinatown-Swanston St (North),18362
2017-03-12,Bourke Street Mall (North),32662
2017-03-11,Collins Place (North),2696
2017-03-11,Bourke Street Mall (North),35247
2017-03-11,Chinatown-Swanston St (North),19192
2017-03-11,QV Market-Peel St,3994
2017-03-11,Melbourne Central,40027
2017-03-11,Southern Cross Station,2597
2017-03-11,Spencer St-Collins St (North),20194
2017-03-10,Spencer St-Collins St (North),43646
2017-03-10,Southern Cross Station,23576
2017-03-10,QV Market-Peel St,3552
2017-03-10,Melbourne Central,41428
2017-03-10,Collins Place (North),11044
2017-03-10,Chinatown-Swanston St (North),17608
2017-03-10,Bourke Street Mall (North),41016
2017-03-09,Collins Place (North),12502
2017-03-09,Bourke Street Mall (North),35267
2017-03-09,Chinatown-Swanston St (North),14234
2017-03-09,Spencer St-Collins St (North),39836
2017-03-09,Melbourne Central,35262
2017-03-09,QV Market-Peel St,3316
2017-03-09,Southern Cross Station,23589
2017-03-08,Collins Place (North),11996
2017-03-08,Bourke Street Mall (North),33254
2017-03-08,Chinatown-Swanston St (North),13946
2017-03-08,QV Market-Peel St,3640
2017-03-08,Melbourne Central,36625
2017-03-08,Spencer St-Collins St (North),39583
2017-03-08,Southern Cross Station,23282
2017-03-07,Spencer St-Collins St (North),39687
2017-03-07,Southern Cross Station,24350
2017-03-07,QV Market-Peel St,3056
2017-03-07,Melbourne Central,34251
2017-03-07,Collins Place (North),12086
2017-03-07,Chinatown-Swanston St (North),12780
2017-03-07,Bourke Street Mall (North),31762
2017-03-06,Bourke Street Mall (North),30693
2017-03-06,Chinatown-Swanston St (North),12790
2017-03-06,Collins Place (North),12005
2017-03-06,Melbourne Central,32621
2017-03-06,QV Market-Peel St,2609
2017-03-06,Spencer St-Collins St (North),38393
2017-03-06,Southern Cross Station,23369
2017-03-05,Spencer St-Collins St (North),15939
2017-03-05,Southern Cross Station,1908
2017-03-05,QV Market-Peel St,3354
2017-03-05,Melbourne Central,29748
2017-03-05,Collins Place (North),1918
2017-03-05,Chinatown-Swanston St (North),15003
2017-03-05,Bourke Street Mall (North),28997
2017-03-04,Collins Place (North),2863
2017-03-04,Bourke Street Mall (North),37114
2017-03-04,Chinatown-Swanston St (North),19627
2017-03-04,Spencer St-Collins St (North),20447
2017-03-04,Melbourne Central,39048
2017-03-04,QV Market-Peel St,3942
2017-03-04,Southern Cross Station,2751
2017-03-03,Melbourne Central,39773
2017-03-03,Bourke Street Mall (North),38996
2017-03-03,Chinatown-Swanston St (North),17052
2017-03-03,Collins Place (North),11266
2017-03-03,Southern Cross Station,23066
2017-03-03,Spencer St-Collins St (North),39511
2017-03-03,QV Market-Peel St,3511
2017-03-02,Collins Place (North),12062
2017-03-02,Spencer St-Collins St (North),39336
2017-03-02,Southern Cross Station,23044
2017-03-02,QV Market-Peel St,3089
2017-03-02,Melbourne Central,35687
2017-03-02,Chinatown-Swanston St (North),13774
2017-03-02,Bourke Street Mall (North),33609
2017-03-01,Melbourne Central,31833
2017-03-01,Chinatown-Swanston St (North),13479
2017-03-01,Collins Place (North),12016
2017-03-01,Bourke Street Mall (North),32721
2017-03-01,QV Market-Peel St,3531
2017-03-01,Spencer St-Collins St (North),39901
2017-03-01,Southern Cross Station,23780
2017-02-28,Melbourne Central,31547
2017-02-28,Bourke Street Mall (North),30814
2017-02-28,Collins Place (North),12257
2017-02-28,Chinatown-Swanston St (North),13484
2017-02-28,QV Market-Peel St,2966
2017-02-28,Southern Cross Station,23988
2017-02-28,Spencer St-Collins St (North),39484
2017-02-27,Spencer St-Collins St (North),39216
2017-02-27,Southern Cross Station,22953
2017-02-27,QV Market-Peel St,2502
2017-02-27,Melbourne Central,31236
2017-02-27,Collins Place (North),12024
2017-02-27,Chinatown-Swanston St (North),14027
2017-02-27,Bourke Street Mall (North),30812
2017-02-26,Collins Place (North),2297
2017-02-26,Melbourne Central,33638
2017-02-26,Chinatown-Swanston St (North),19576
2017-02-26,Bourke Street Mall (North),32276
2017-02-26,QV Market-Peel St,3678
2017-02-26,Southern Cross Station,1913
2017-02-26,Spencer St-Collins St (North),16834
2017-02-25,Spencer St-Collins St (North),19184
2017-02-25,Southern Cross Station,2980
2017-02-25,QV Market-Peel St,4411
2017-02-25,Melbourne Central,40635
2017-02-25,Collins Place (North),2836
2017-02-25,Chinatown-Swanston St (North),21842
2017-02-25,Bourke Street Mall (North),36265
2017-02-24,Melbourne Central,38228
2017-02-24,Chinatown-Swanston St (North),16949
2017-02-24,Collins Place (North),11418
2017-02-24,Southern Cross Station,22912
2017-02-24,QV Market-Peel St,3470
2017-02-24,Spencer St-Collins St (North),39484
2017-02-24,Bourke Street Mall (North),33680
2017-02-23,Southern Cross Station,23922
2017-02-23,QV Market-Peel St,3671
2017-02-23,Melbourne Central,34023
2017-02-23,Collins Place (North),12218
2017-02-23,Chinatown-Swanston St (North),15104
2017-02-23,Bourke Street Mall (North),35135
2017-02-23,Spencer St-Collins St (North),39527
2017-02-22,Spencer St-Collins St (North),39254
2017-02-22,Southern Cross Station,22542
2017-02-22,QV Market-Peel St,3536
2017-02-22,Melbourne Central,32885
2017-02-22,Collins Place (North),11917
2017-02-22,Chinatown-Swanston St (North),14722
2017-02-22,Bourke Street Mall (North),33458
2017-02-21,Melbourne Central,33172
2017-02-21,Collins Place (North),12334
2017-02-21,Bourke Street Mall (North),32021
2017-02-21,Chinatown-Swanston St (North),14221
2017-02-21,Spencer St-Collins St (North),38266
2017-02-21,QV Market-Peel St,3216
2017-02-21,Southern Cross Station,23188
2017-02-20,Bourke Street Mall (North),30860
2017-02-20,Melbourne Central,30750
2017-02-20,Chinatown-Swanston St (North),13169
2017-02-20,Collins Place (North),11464
2017-02-20,Spencer St-Collins St (North),37208
2017-02-20,QV Market-Peel St,2282
2017-02-20,Southern Cross Station,22111
2017-02-19,Bourke Street Mall (North),30571
2017-02-19,QV Market-Peel St,3418
2017-02-19,Chinatown-Swanston St (North),15582
2017-02-19,Melbourne Central,38743
2017-02-19,Collins Place (North),2397
2017-02-19,Southern Cross Station,1795
2017-02-19,Spencer St-Collins St (North),14816
2017-02-18,Bourke Street Mall (North),46657
2017-02-18,Melbourne Central,49782
2017-02-18,Chinatown-Swanston St (North),18503
2017-02-18,Collins Place (North),3813
2017-02-18,Southern Cross Station,2653
2017-02-18,QV Market-Peel St,4380
2017-02-18,Spencer St-Collins St (North),19575
2017-02-17,QV Market-Peel St,3463
2017-02-17,Chinatown-Swanston St (North),16992
2017-02-17,Collins Place (North),11546
2017-02-17,Melbourne Central,36297
2017-02-17,Bourke Street Mall (North),37637
2017-02-17,Southern Cross Station,22408
2017-02-17,Spencer St-Collins St (North),38591
2017-02-16,Bourke Street Mall (North),33275
2017-02-16,Spencer St-Collins St (North),38622
2017-02-16,Southern Cross Station,23512
2017-02-16,QV Market-Peel St,3042
2017-02-16,Melbourne Central,28260
2017-02-16,Collins Place (North),11748
2017-02-16,Chinatown-Swanston St (North),13802
2017-02-15,Bourke Street Mall (North),33556
2017-02-15,Southern Cross Station,22768
2017-02-15,QV Market-Peel St,3778
2017-02-15,Collins Place (North),11665
2017-02-15,Chinatown-Swanston St (North),14226
2017-02-15,Melbourne Central,28548
2017-02-15,Spencer St-Collins St (North),38851
2017-02-14,Spencer St-Collins St (North),39327
2017-02-14,Southern Cross Station,24376
2017-02-14,QV Market-Peel St,3096
2017-02-14,Melbourne Central,31050
2017-02-14,Collins Place (North),12369
2017-02-14,Chinatown-Swanston St (North),14973
2017-02-14,Bourke Street Mall (North),31502
2017-02-13,Spencer St-Collins St (North),38281
2017-02-13,Southern Cross Station,22554
2017-02-13,QV Market-Peel St,2168
2017-02-13,Melbourne Central,28372
2017-02-13,Collins Place (North),11586
2017-02-13,Chinatown-Swanston St (North),13287
2017-02-13,Bourke Street Mall (North),26460
2017-02-12,Collins Place (North),1855
2017-02-12,Melbourne Central,27580
2017-02-12,Bourke Street Mall (North),22979
2017-02-12,Chinatown-Swanston St (North),14523
2017-02-12,QV Market-Peel St,3090
2017-02-12,Southern Cross Station,1911
2017-02-12,Spencer St-Collins St (North),17324
2017-02-11,Bourke Street Mall (North),29401
2017-02-11,Spencer St-Collins St (North),18185
2017-02-11,Southern Cross Station,2571
2017-02-11,QV Market-Peel St,4011
2017-02-11,Melbourne Central,34258
2017-02-11,Collins Place (North),2884
2017-02-11,Chinatown-Swanston St (North),17601
2017-02-10,Bourke Street Mall (North),36832
