date,street,people_count
2022-06-22,QV Market-Peel St,3872
2022-06-22,Spencer St-Collins St (North),19463
2022-06-22,Southern Cross Station,13043
2022-06-21,Bourke Street Mall (North),14972
2022-06-21,Spencer St-Collins St (North),19357
2022-06-21,Southern Cross Station,13265
2022-06-21,QV Market-Peel St,2529
2022-06-21,Melbourne Central,18683
2022-06-21,Collins Place (North),6536
2022-06-21,Chinatown-Swanston St (North),7730
2022-06-20,Bourke Street Mall (North),14363
2022-06-20,Spencer St-Collins St (North),18481
2022-06-20,Southern Cross Station,9336
2022-06-20,QV Market-Peel St,1879
2022-06-20,Melbourne Central,17818
2022-06-20,Collins Place (North),5192
2022-06-20,Chinatown-Swanston St (North),7737
2022-06-19,Melbourne Central,24258
2022-06-19,Collins Place (North),1425
2022-06-19,Bourke Street Mall (North),18763
2022-06-19,QV Market-Peel St,4413
2022-06-19,Southern Cross Station,1548
2022-06-19,Chinatown-Swanston St (North),11835
2022-06-19,Spencer St-Collins St (North),11622
2022-06-18,Bourke Street Mall (North),23737
2022-06-18,Chinatown-Swanston St (North),14880
2022-06-18,Spencer St-Collins St (North),14250
2022-06-18,Southern Cross Station,2298
2022-06-18,QV Market-Peel St,4381
2022-06-18,Melbourne Central,30749
2022-06-18,Collins Place (North),2424
2022-06-17,Spencer St-Collins St (North),22884
2022-06-17,QV Market-Peel St,2999
2022-06-17,Melbourne Central,25565
2022-06-17,Collins Place (North),5806
2022-06-17,Chinatown-Swanston St (North),11689
2022-06-17,Bourke Street Mall (North),18678
2022-06-17,Southern Cross Station,9123
2022-06-16,QV Market-Peel St,2074
2022-06-16,Chinatown-Swanston St (North),7987
2022-06-16,Spencer St-Collins St (North),20005
2022-06-16,Southern Cross Station,11183
2022-06-16,Melbourne Central,19082
2022-06-16,Collins Place (North),6228
2022-06-16,Bourke Street Mall (North),15377
2022-06-15,Chinatown-Swanston St (North),7314
2022-06-15,Bourke Street Mall (North),14043
2022-06-15,Spencer St-Collins St (North),18474
2022-06-15,Southern Cross Station,11961
2022-06-15,Melbourne Central,18146
2022-06-15,Collins Place (North),6056
2022-06-15,QV Market-Peel St,3069
2022-06-14,Spencer St-Collins St (North),17057
2022-06-14,Southern Cross Station,11316
2022-06-14,QV Market-Peel St,2060
2022-06-14,Melbourne Central,16747
2022-06-14,Collins Place (North),6056
2022-06-14,Chinatown-Swanston St (North),7094
2022-06-14,Bourke Street Mall (North),13776
2022-06-13,Chinatown-Swanston St (North),10755
2022-06-13,Bourke Street Mall (North),18005
2022-06-13,Southern Cross Station,1741
2022-06-13,QV Market-Peel St,1545
2022-06-13,Melbourne Central,22936
2022-06-13,Collins Place (North),1076
2022-06-13,Spencer St-Collins St (North),11043
2022-06-12,Spencer St-Collins St (North),12262
2022-06-12,Southern Cross Station,1888
2022-06-12,QV Market-Peel St,4106
2022-06-12,Melbourne Central,28793
2022-06-12,Collins Place (North),1448
2022-06-12,Chinatown-Swanston St (North),15268
2022-06-12,Bourke Street Mall (North),21980
2022-06-11,Southern Cross Station,2139
2022-06-11,Collins Place (North),2069
2022-06-11,Bourke Street Mall (North),24418
2022-06-11,Chinatown-Swanston St (North),16250
2022-06-11,Spencer St-Collins St (North),14706
2022-06-11,Melbourne Central,30849
2022-06-11,QV Market-Peel St,3790
2022-06-10,Spencer St-Collins St (North),17712
2022-06-10,Southern Cross Station,7959
2022-06-10,QV Market-Peel St,2794
2022-06-10,Melbourne Central,25674
2022-06-10,Collins Place (North),5208
2022-06-10,Chinatown-Swanston St (North),12529
2022-06-10,Bourke Street Mall (North),19332
2022-06-09,Bourke Street Mall (North),15780
2022-06-09,Melbourne Central,19023
2022-06-09,Chinatown-Swanston St (North),8295
2022-06-09,Collins Place (North),6137
2022-06-09,QV Market-Peel St,2470
2022-06-09,Southern Cross Station,11753
2022-06-09,Spencer St-Collins St (North),18285
2022-06-08,Spencer St-Collins St (North),18677
2022-06-08,Southern Cross Station,12214
2022-06-08,QV Market-Peel St,3231
2022-06-08,Melbourne Central,19219
2022-06-08,Collins Place (North),6361
2022-06-08,Chinatown-Swanston St (North),8067
2022-06-08,Bourke Street Mall (North),14293
2022-06-07,Melbourne Central,15468
2022-06-07,Chinatown-Swanston St (North),6856
2022-06-07,Collins Place (North),5318
2022-06-07,Bourke Street Mall (North),12515
2022-06-07,QV Market-Peel St,2241
2022-06-07,Spencer St-Collins St (North),18338
2022-06-07,Southern Cross Station,10721
2022-06-06,Melbourne Central,15784
2022-06-06,Chinatown-Swanston St (North),7042
2022-06-06,Collins Place (North),5090
2022-06-06,Bourke Street Mall (North),13169
2022-06-06,QV Market-Peel St,1733
2022-06-06,Southern Cross Station,8589
2022-06-06,Spencer St-Collins St (North),17313
2022-06-05,Spencer St-Collins St (North),13031
2022-06-05,Southern Cross Station,2826
2022-06-05,QV Market-Peel St,3551
2022-06-05,Melbourne Central,21030
2022-06-05,Collins Place (North),1111
2022-06-05,Chinatown-Swanston St (North),11125
2022-06-05,Bourke Street Mall (North),15842
2022-06-04,Melbourne Central,30446
2022-06-04,Bourke Street Mall (North),24087
2022-06-04,Chinatown-Swanston St (North),15819
2022-06-04,Collins Place (North),2125
2022-06-04,QV Market-Peel St,4170
2022-06-04,Spencer St-Collins St (North),13894
2022-06-04,Southern Cross Station,2090
2022-06-03,Spencer St-Collins St (North),21410
2022-06-03,Southern Cross Station,9073
2022-06-03,QV Market-Peel St,2688
2022-06-03,Melbourne Central,23404
2022-06-03,Collins Place (North),5261
2022-06-03,Chinatown-Swanston St (North),11926
