stn_num,stn_name,lat,lon,elevation,start,sitesDB_name
46126,Tibooburra,-29.44,142.06,176,1910,TIBOOBURRA
48027,Cobar,-31.48,145.83,260,1910,COBAR
48245,Bourke,-30.04,145.95,107,1910,BOURKE
50017,West Wyalong,-33.94,147.2,257,1965,WEST WYALONG
52088,Walgett,-30.04,148.12,133,1910,WALGETT
53115,Moree,-29.49,149.85,213,1912,MOREE
55024,Gunnedah,-31.03,150.27,307,1948,GUNNEDAH
56242,Inverell,-29.78,151.11,582,1910,INVERELL
58012,Yamba,-29.43,153.36,27,1910,YAMBA
59151,Coffs Harbour,-30.32,153.12,4,1943,COFFS HARBOUR
60139,Port Macquarie,-31.43,152.87,4,1910,PORT MACQUARIE
61078,Williamtown,-32.79,151.84,8,1942,WILLIAMTOWN
61363,Scone,-32.03,150.83,221,1965,SCONE
63005,Bathurst,-33.43,149.56,713,1910,BATHURST
65070,Dubbo,-32.22,148.58,284,1921,DUBBO
66214,Sydney,-33.86,151.2,43,1910,SYDNEY
67105,Richmond (NSW),-33.6,150.78,19,1939,RICHMOND
68072,Nowra,-34.95,150.54,109,1955,NOWRA
68151,Point Perpendicular,-35.09,150.8,85,1946,JERVIS BAY
69018,Moruya Heads,-35.91,150.15,17,1910,MORUYA HEADS
70351,Canberra,-35.31,149.2,577,1913,CANBERRA
72150,Wagga Wagga,-35.16,147.46,212,1910,WAGGA WAGGA
72161,Cabramurra,-35.94,148.38,1482,1962,CABRAMURRA
74258,Deniliquin,-35.56,144.95,94,1910,DENILIQUIN
76031,Mildura,-34.24,142.09,50,1910,MILDURA
78015,Nhill,-36.31,141.65,139,1910,NHILL
80023,Kerang,-35.72,143.92,82,1910,KERANG
82039,Rutherglen,-36.1,146.51,175,1912,RUTHERGLEN
84016,Gabo Island,-37.57,149.92,15,1910,GABO ISLAND
84145,Orbost,-37.69,148.47,63,1938,ORBOST
85072,Sale,-38.12,147.13,5,1910,EAST SALE
85096,Wilsons Promontory,-39.13,146.42,95,1910,WILSONS PROMONTORY
86338,Melbourne,-37.83,144.98,8,1910,MELBOURNE
87031,Laverton,-37.86,144.76,20,1943,LAVERTON
90015,Cape Otway,-38.86,143.51,82,1910,CAPE OTWAY
91293,Low Head,-41.05,146.79,3,1910,LOW HEAD
91311,Launceston Airport,-41.55,147.22,167,1910,LAUNCESTON AIRPORT
92045,Larapuna (Eddystone Point),-40.99,148.35,20,1910,LARAPUNA
94029,Hobart,-42.89,147.33,51,1918,HOBART
94198,Cape Bruny,-43.49,147.14,60,1923,BRUNY ISLAND
94220,Grove,-42.98,147.08,65,1952,GROVE
96003,Butlers Gorge,-42.28,146.28,667,1944,BUTLERS GORGE
