,Product code,Bureau of Meteorology station number,Year,Month,Day,max_temp,Days of accumulation of maximum temperature,Quality,date
3055,IDCJAC0010,86338,2021,5,14,15.6,1.0,Y,2021-05-14
3056,IDCJAC0010,86338,2021,5,15,12.9,1.0,Y,2021-05-15
3057,IDCJAC0010,86338,2021,5,16,15.5,1.0,Y,2021-05-16
3058,IDCJAC0010,86338,2021,5,17,15.4,1.0,Y,2021-05-17
3059,IDCJAC0010,86338,2021,5,18,16.0,1.0,Y,2021-05-18
3060,IDCJAC0010,86338,2021,5,19,18.5,1.0,Y,2021-05-19
3061,IDCJAC0010,86338,2021,5,20,17.0,1.0,Y,2021-05-20
3062,IDCJAC0010,86338,2021,5,21,17.7,1.0,Y,2021-05-21
3063,IDCJAC0010,86338,2021,5,22,19.2,1.0,Y,2021-05-22
3064,IDCJAC0010,86338,2021,5,23,20.2,1.0,Y,2021-05-23
3065,IDCJAC0010,86338,2021,5,24,19.9,1.0,Y,2021-05-24
3066,IDCJAC0010,86338,2021,5,25,20.9,1.0,Y,2021-05-25
3067,IDCJAC0010,86338,2021,5,26,14.7,1.0,Y,2021-05-26
3068,IDCJAC0010,86338,2021,5,27,15.0,1.0,Y,2021-05-27
3069,IDCJAC0010,86338,2021,5,28,13.8,1.0,Y,2021-05-28
3070,IDCJAC0010,86338,2021,5,29,13.1,1.0,Y,2021-05-29
3071,IDCJAC0010,86338,2021,5,30,14.5,1.0,Y,2021-05-30
3072,IDCJAC0010,86338,2021,5,31,16.1,1.0,Y,2021-05-31
3073,IDCJAC0010,86338,2021,6,1,15.7,1.0,Y,2021-06-01
3074,IDCJAC0010,86338,2021,6,2,19.6,1.0,Y,2021-06-02
3075,IDCJAC0010,86338,2021,6,3,16.9,1.0,Y,2021-06-03
3076,IDCJAC0010,86338,2021,6,4,13.6,1.0,Y,2021-06-04
3077,IDCJAC0010,86338,2021,6,5,12.9,1.0,Y,2021-06-05
3078,IDCJAC0010,86338,2021,6,6,14.7,1.0,Y,2021-06-06
3079,IDCJAC0010,86338,2021,6,7,17.2,1.0,Y,2021-06-07
3080,IDCJAC0010,86338,2021,6,8,13.2,1.0,Y,2021-06-08
3081,IDCJAC0010,86338,2021,6,9,14.7,1.0,Y,2021-06-09
3082,IDCJAC0010,86338,2021,6,10,15.1,1.0,Y,2021-06-10
3083,IDCJAC0010,86338,2021,6,11,15.0,1.0,Y,2021-06-11
3084,IDCJAC0010,86338,2021,6,12,16.5,1.0,Y,2021-06-12
3085,IDCJAC0010,86338,2021,6,13,15.9,1.0,Y,2021-06-13
3086,IDCJAC0010,86338,2021,6,14,16.4,1.0,Y,2021-06-14
3087,IDCJAC0010,86338,2021,6,15,15.6,1.0,Y,2021-06-15
3088,IDCJAC0010,86338,2021,6,16,16.0,1.0,Y,2021-06-16
3089,IDCJAC0010,86338,2021,6,17,12.9,1.0,Y,2021-06-17
3090,IDCJAC0010,86338,2021,6,18,13.2,1.0,Y,2021-06-18
3091,IDCJAC0010,86338,2021,6,19,16.2,1.0,Y,2021-06-19
3092,IDCJAC0010,86338,2021,6,20,14.5,1.0,Y,2021-06-20
3093,IDCJAC0010,86338,2021,6,21,15.4,1.0,Y,2021-06-21
3094,IDCJAC0010,86338,2021,6,22,16.3,1.0,Y,2021-06-22
3095,IDCJAC0010,86338,2021,6,23,15.3,1.0,Y,2021-06-23
3096,IDCJAC0010,86338,2021,6,24,16.7,1.0,Y,2021-06-24
3097,IDCJAC0010,86338,2021,6,25,13.2,1.0,Y,2021-06-25
3098,IDCJAC0010,86338,2021,6,26,13.4,1.0,Y,2021-06-26
3099,IDCJAC0010,86338,2021,6,27,15.3,1.0,Y,2021-06-27
3100,IDCJAC0010,86338,2021,6,28,15.1,1.0,Y,2021-06-28
3101,IDCJAC0010,86338,2021,6,29,16.7,1.0,Y,2021-06-29
3102,IDCJAC0010,86338,2021,6,30,16.9,1.0,Y,2021-06-30
3103,IDCJAC0010,86338,2021,7,1,17.2,1.0,N,2021-07-01
3104,IDCJAC0010,86338,2021,7,2,14.5,1.0,N,2021-07-02
3105,IDCJAC0010,86338,2021,7,3,10.6,1.0,N,2021-07-03
3106,IDCJAC0010,86338,2021,7,4,13.1,1.0,N,2021-07-04
3107,IDCJAC0010,86338,2021,7,5,13.1,1.0,N,2021-07-05
3108,IDCJAC0010,86338,2021,7,6,13.2,1.0,N,2021-07-06
3109,IDCJAC0010,86338,2021,7,7,13.1,1.0,Y,2021-07-07
3110,IDCJAC0010,86338,2021,7,8,,,,2021-07-08
3111,IDCJAC0010,86338,2021,7,9,12.0,1.0,N,2021-07-09
3112,IDCJAC0010,86338,2021,7,10,14.2,1.0,N,2021-07-10
3113,IDCJAC0010,86338,2021,7,11,16.1,1.0,N,2021-07-11
3114,IDCJAC0010,86338,2021,7,12,16.1,1.0,N,2021-07-12
3115,IDCJAC0010,86338,2021,7,13,14.4,1.0,N,2021-07-13
3116,IDCJAC0010,86338,2021,7,14,13.9,1.0,N,2021-07-14
3117,IDCJAC0010,86338,2021,7,15,17.1,1.0,N,2021-07-15
3118,IDCJAC0010,86338,2021,7,16,15.2,1.0,N,2021-07-16
3119,IDCJAC0010,86338,2021,7,17,13.7,1.0,N,2021-07-17
3120,IDCJAC0010,86338,2021,7,18,14.2,1.0,N,2021-07-18
3121,IDCJAC0010,86338,2021,7,19,13.0,1.0,N,2021-07-19
3122,IDCJAC0010,86338,2021,7,20,11.4,1.0,N,2021-07-20
3123,IDCJAC0010,86338,2021,7,21,13.6,1.0,N,2021-07-21
3124,IDCJAC0010,86338,2021,7,22,11.8,1.0,N,2021-07-22
3125,IDCJAC0010,86338,2021,7,23,11.3,1.0,N,2021-07-23
